Company,Model,MSN,YoM,Reg,Comments
Airbus A330,A330-300,1124,2010,9V-STN,"Stored, last operated by Singapore Airlines, marketed online by LCI Aviation as available for Lease in MAY16"
Airbus A330,A330-300,1107,2010,9V-STM,"Flying with Singapore Airlines, marketed online by LCI Aviation as available for Lease in APR16"
Airbus A330,A330-343,1105,2010,9V-STL,"Stored, last operated by Singapore Airlines"
Airbus A330,A330-343E,1099,2010,LZ-AWF,"Stored, last operated by Singapore Airlines"
Airbus A330,A330-203,0755,2006,B-16312,"Flying with EVA Air, CAPA reported that A330-200 fleet will be replaced by -300s in 2016"
Airbus A330,A330-203,0700,2005,PT-MVL,"Stored, last operated by TAM"
Airbus A330,A330-203,0693,2005,B-16311,"Flying with EVA Air, CAPA reported that A330-200 fleet will be replaced by -300s in 2016"
Airbus A320 family,A320-211,0554,1995,JA8400,"Flying with ANA, A320ceo fleet will start being retired from early/mid 2016"
Airbus A320 family,A320-211,0549,1995,JA8300,"Flying with ANA, A320ceo fleet will start being retired from early/mid 2016"
Airbus A320 family,A320-232,0540,1995,2-TBXH,"Stored,last operated by Sichuan Airlines"
Airbus A320 family,A320-211,0534,1995,JA8313,"Flying with ANA, A320ceo fleet will start being retired from early/mid 2016"
Airbus A320 family,A320-211,0531,1995,JA8304,"Flying with ANA, A320ceo fleet will start being retired from early/mid 2016"
Airbus A320 family,A321-111,0519,1994,F-GYAZ,"Stored, last operated by Air Mediterranee"
Airbus A320 family,A320-211,0507,1994,JA8654,"Flying with ANA, A320ceo fleet will start being retired from early/mid 2016"
Airbus A320 family,A320-211,0501,1994,JA8609,"Flying with ANA, A320ceo fleet will start being retired from early/mid 2016"
Airbus A320 family,A320-211,0482,1994,JA8396,"Flying with ANA, A320ceo fleet will start being retired from early/mid 2016"
Airbus A320 family,A320-232,0448,1993,N640AW,"Stored, last operated by American Airlines"
Airbus A330,A330-203,0678,2005,B-16310,"Flying with EVA Air, CAPA reported that A330-200 fleet will be replaced by -300s in 2016"
Airbus A330,A330-203,0661,2005,B-16309,"Flying with EVA Air, CAPA reported that A330-200 fleet will be replaced by -300s in 2016"
Airbus A330,A330-203,0655,2005,B-16308,"Flying with EVA Air, CAPA reported that A330-200 fleet will be replaced by -300s in 2016"
Airbus A330,A330-243,0536,2003,A6-EAR,"Flying with Emirates, marketed by Airbus as available for Sale or long term lease in NOV16"
Airbus A330,A330-203,0535,2003,OE-IEA,"Stored, last operated by EVA Airways"
Airbus A330,A330-243,0525,2003,OE-IER,"Stored, last operated by Emirates"
Airbus A330,A330-243,0518,2003,A6-EAQ,"Flying with Emirates, marketed by Airbus as available for Sale or long term lease in OCT16"
Airbus A330,A330-203,0472,2002,PT-MVG,"Stored, last operated by TAM"
Airbus A330,A330-203,0466,2002,PT-MVF,"Stored, last operated by TAM"
Airbus A320 family,A320-231,0366,1992,SU-GBG,"Flying with EgyptAir, aircraft likely to be sold per airline statement (MAR16) that seven A320s are considered for sale"
Airbus A320 family,A320-231,0351,1992,SU-GBF,"Flying with EgyptAir, aircraft likely to be sold per airline statement (MAR16) that seven A320s are considered for sale"
Airbus A320 family,A320-200,0260,1991,XA-MXT,"Stored, last operated by Mexicana, marketed online by Jetran LLC ,since 22APR16, as available for Lease or Sale"
Airbus A320 family,A320-200,0259,1991,XA-MXS,"Stored, last operated by Mexicana, marketed online by Jetran LLC ,since 22APR16, as available for Lease or Sale"
Airbus A320 family,A320-231,0198,1991,SU-GBE,"Flying with EgyptAir, aircraft likely to be sold per airline statement (MAR16) that seven A320s are considered for sale"
Airbus A320 family,A320-211,0195,1991,9K-AKC,"Flying with Kuwait Airways, aircraft will be retired in 2016"
Airbus A320 family,A320-231,0194,1991,SU-GBD,"Flying with EgyptAir, aircraft likely to be sold per airline statement (MAR16) that seven A320s are considered for sale"
Airbus A320 family,A320-211,0182,1991,9K-AKB,"Flying with Kuwait Airways, aircraft will be retired in 2016"
Airbus A320 family,A320-211,0181,1991,9K-AKA,"Flying with Kuwait Airways, aircraft will be retired in 2016"
Airbus A320 family,A320-231,0178,1991,SU-GBC,"Flying with EgyptAir, aircraft likely to be sold per airline statement (MAR16) that seven A320s are considered for sale"
Airbus A330,A330-243,0455,2003,A6-EAS,"Flying with Emirates, marketed by Airbus as available for Sale or long term lease in SEP16"
Airbus A330,A330-223,0361,2000,PT-MVE,"Stored, last operated by TAM"
Airbus A330,A330-243,0314,2003,A6-EKV,"Flying with Emirates, marketed by Airbus as available for Sale or long term lease in AUG16"
Airbus A330,A330-223,0259,1999,PT-MVD,"Stored, last operated by TAM"
Airbus A330,A330-223,0247,1998,PT-MVC,"Stored, last operated by TAM"
Airbus A330,A330-223,0238,1998,PT-MVB,"Stored, last operated by TAM"
Airbus A330,A330-223,0232,1998,PT-MVA,"Stored, last operated by TAM"
Airbus A330,A330-300,0171,1997,EI-ETI,"Stored, last operated by I-Fly"
Airbus A330,A330-322,0098,1995,TC-OCB,"Stored, last operated by Onur Air"
Airbus A330,A330-322,0087,1995,TC-OCD,"Stored, last operated by Onur Air"
Airbus A320 family,A320-231,0166,1991,SU-GBB,"Flying with EgyptAir, aircraft likely to be sold per airline statement (MAR16) that seven A320s are considered for sale"
Airbus A320 family,A320-231,0165,1991,SU-GBA,"Flying with EgyptAir, aircraft likely to be sold per airline statement (MAR16) that seven A320s are considered for sale"
Airbus A320 family,A320-200,TBA,TBA,TBA,Cebu Pacific will return seven aircraft to Lessors between 2016 and 2019 (per airlines' statement)
Airbus A320 family,A319-132,TBA,TBA,TBA,"Flying with Spirit Airlines, airline stated that 21 A319s will be disposed until 2021 (4 to be retired in 2016)"
Airbus A340,A340-600,1040,2009,A6-EHL,"Flying with Etihad, -600s will start being replaced by A350-1000 in 2017"
Airbus A340,A340-600,1030,2009,A6-EHK,"Flying with Etihad, -600s will start being replaced by A350-1000 in 2017"
Airbus A340,A340-600,953,2008,HS-TNF,"Stored, marketed by Thai Airways as available for Sale in Q2 2016"
Airbus A340,A340-313E,938,2008,OH-LQE,"Flying with Finnair, marketed by Airbus as available in APR17 (no availability type given)"
Airbus A340,A340-600,933,2008,A6-EHJ,"Flying with Etihad, -600s will start being replaced by A350-1000 in 2017"
Airbus A340,A340-600,929,2008,A6-EHI,"Flying with Etihad, -600s will start being replaced by A350-1000 in 2017"
Airbus A340,A340-313E,921,2008,OH-LQD,"Flying with Finnair, marketed by Airbus as available in SEP16 for Sale or long term lease"
Airbus A340,A340-600,870,2007,A6-EHH,"Flying with Etihad, -600s will start being replaced by A350-1000 in 2017"
Airbus A340,A340-313E,844,2007,OH-LQC,"Flying with Finnair, marketed by Airbus as available in SEP16 for Sale or Long term lease"
Airbus A340,A340-600,837,2007,A6-EHF,"Flying with Etihad, -600s will start being replaced by A350-1000 in 2017"
Airbus A340,A340-313E,835,2007,OH-LQB,"Flying with Finnair, marketed by Airbus as available in JUL16 for Sale or Long term lease"
Airbus A340,A340-600,829,2007,A6-EHE,"Flying with Etihad, -600s will start being replaced by A350-1000 in 2017"
Airbus A340,A340-642,794,2007,D-AIHR,"Stored, last operated by Lufthansa"
Airbus A340,A340-642,790,2007,D-AIHQ,"Stored, last operated by Lufthansa"
Airbus A340,A340-500,783,2006,A6-EHD,"Flying with Etihad, -500s will start being replaced by A350-900 in 2016"
Airbus A340,A340-500,775,2007,HS-TLD,"Stored, last operated by Thai Airways"
Airbus A340,A340-642,767,2006,D-AIHO,"Stored, last operated by Lufthansa"
Airbus A340,A340-642,763,2006,D-AIHN,"Stored, last operated by Lufthansa"
Airbus A340,A340-500,761,2006,A6-EHC,"Stored, last operated by Etihad"
Airbus A340,A340-500,757,2006,A6-EHB,"Stored, last operated by Etihad"
Airbus A340,A340-642,723,2006,G-VBLU,"Stored, last operated by Virgin Atlantic"
Airbus A340,A340-600,719,2005,HS-TNE,"Stored, marketed by Thai Airways as available for Sale in Q2 2016"
Airbus A340,A340-600,710,2005,HS-TND,"Stored, marketed by Thai Airways as available for Sale in Q2 2016"
Airbus A340,A340-541,694,2005,A6-ERJ,"Stored, last operated by Emirates, marketed by Airbus as available now (no availability type given)"
Airbus A340,A340-600,689,2005,HS-TNC,"Stored, marketed by Thai Airways as available for Sale in Q2 2016"
Airbus A340,A340-541,685,2005,A6-ERI,"Stored, last operated by Emirates, marketed by Airbus as available now (no availability type given)"
Airbus A340,A340-600,681,2005,HS-TNB,"Stored, marketed by Thai Airways as available for Sale in Q2 2016"
Airbus A340,A340-600,677,2005,HS-TNA,"Stored, marketed by Thai Airways as available for Sale in Q2 2016"
Airbus A340,A340-313,651,2005,ZS-SXF,"Flying with SAA, -300s will be replaced by A330-300s in second half of 2016"
Airbus A340,A340-313,646,2004,ZS-SXE,"Flying with SAA, -300s will be replaced by A330-300s in second half of 2016"
Airbus A340,A340-313,643,2004,ZS-SXD,"Flying with SAA, -300s will be replaced by A330-300s in second half of 2016"
Airbus A340,A340-500,628,2005,HS-TLB,"Stored, marketed by Thai Airways as available for sale in Q1 2016"
Airbus A340,A340-500,624,2005,HS-TLA,"Stored, marketed by Thai Airways as available for sale in Q1 2016"
Airbus A340,A340-642,622,2005,G-VNAP,"Stored, last operated by Virgin Atlantic"
Airbus A340,A340-541,611,2004,A6-ERH,"Stored, last operated by Emirates, marketed by Airbus as available now (no availability type given)"
Airbus A340,A340-541,608,2004,A6-ERG,"Stored, last operated by Emirates, marketed by Airbus as available now (no availability type given)"
Airbus A340,A340-642,606,2004,EC-JBA,"Flying with Iberia, marketed by Airbus as available for Sale in NOV16"
ATR,ATR 42-600,1204,2015,OY-YBP,"Stored, last operated by Satena"
ATR,ATR 72-600,1109,2013,F-WTDX,"Stored, last operated by Villa Air"
ATR,ATR 72-600,1069,2013,F-WTDW,"Stored, last operated by Villa Air"
ATR,ATR 72-500,930,2010,SE-MDI,"Flying with Braathens Regional, -500s will be replaced by -600s by the end of 2016"
ATR,ATR 72-500,917,2010,SE-MDH,"Flying with Braathens Regional, -500s will be replaced by -600s by the end of 2016"
ATR,ATR 72-500,911,2010,OY-YBH,"Stored, last operated by AZUL Linhas Aereas"
ATR,ATR 72-500,894,2009,SE-MDC,"Flying with Braathens Regional, -500s will be replaced by -600s by the end of 2016"
ATR,ATR 72-500,891,2009,PP-PTU,"Stored, last operated by AZUL Linhas Aereas"
Airbus A340,A340-642,604,2004,EC-IZY,"Flying with Iberia, marketed by Airbus as available for Sale or long term lease in DEC16"
Airbus A340,A340-642,601,2004,EC-IZX,"Flying with Iberia, marketed by Airbus as available for Sale or long term lease in FEB17"
Airbus A340,A340-313,590,2004,ZS-SXC,"Flying with SAA, -300s will be replaced by A330-300s in second half of 2016"
Airbus A340,A340-642,586,2004,D-AAAS,"Stored, last operated by China Eastern"
Airbus A340,A340-313,582,2004,ZS-SXB,"Flying with SAA, -300s will be replaced by A330-300s in second half of 2016"
Airbus A340,A340-642,577,2004,D-AAAR,"Stored, last operated by China Eastern"
Airbus A340,A340-541,572,2004,A6-ERE,"Stored, last operated by Emirates"
Airbus A340,A340-642,569,2004,D-AIHI,"Flying with Lufthansa, marketed by Lufthansa ,since 09MAY16, as available for Sale"
Airbus A340,A340-313,544,2003,ZS-SXA,"Flying with SAA, -300s will be replaced by A330-300s in second half of 2016"
Airbus A340,A340-642,537,2003,D-AIHD,"Flying with Lufthansa, marketed by Lufthansa ,since 09MAY16, as available for Sale"
ATR,ATR 72-500,876,2009,YJ-AV72,"Flying with Air Vanuatu, -500 fleet will be replaced by a single -600 in 2016"
ATR,ATR 72-500,826,2008,D2-FLY,Stored by Elix Aviation
ATR,ATR 72-500,822,2008,SE-MDB,"Flying with Braathens Regional, -500s will be replaced by -600s by the end of 2016"
ATR,ATR 72-500,846,2009,PP-PTT,"Stored, last operated by AZUL Linhas Aereas"
ATR,ATR 72-500,789,2008,OY-JZV,"Flying with SAS, wet lease contract from Jet Time until?"
ATR,ATR 72-500,785,2008,PP-PTR,"Stored, last operated by AZUL Linhas Aereas"
ATR,ATR 72-500,782,2008,OY-CRV,"Stored, last operated by Kan Air"
ATR,ATR 72-500,778,2008,SE-MDA,"Flying with Braathens Regional, -500s will be replaced by -600s by the end of 2016"
ATR,ATR 72-500,776,2008,M-IBAJ,"Stored, last operated by Kingfisher Airlines"
ATR,ATR 72-500,774,2007,OY-YBK,"Stored, last operated by TransAsia Airways"
Airbus A340,A340-642,523,2003,D-AIHC,"Flying with Lufthansa, marketed by Lufthansa ,since 09MAY16, as available for Sale"
Airbus A340,A340-541,520,2003,A6-ERD,"Stored, last operated by Emirates, marketed by Airbus as available now (no availability type given)"
Airbus A340,A340-642,514,2003,D-AAAZ,"Stored, last operated by China Eastern"
Airbus A340,A340-541,499,2003,F-WJKL,"Stored, last operated by Singapore Airlines, marketed by Airbus as available now (no availability type given)"
Airbus A340,A340-541,492,2003,F-WJKK,"Stored, last operated by Singapore Airlines, marketed by Airbus as available now (no availability type given)"
Airbus A340,A340-642,488,2003,D-AAAV,"Stored, last operated by China Eastern"
Airbus A340,A340-541,485,2003,A6-ERC,"Stored, last operated by Emirates, marketed by Airbus as available now (no availability type given)"
Airbus A340,A340-642,482,2003,D-AIHA,"Flying with Lufthansa, marketed by Lufthansa ,since 09MAY16, as available for Sale"
Airbus A340,A340-541,478,2003,F-WJKJ,"Stored, last operated by Singapore Airlines, marketed by Airbus as available now (no availability type given)"
Airbus A340,A340-313,474,2002,RP-C3441,"Flying with Philippine Airlines, fleet will be retired by late/mid 2018"
ATR,ATR 72-500,770,2008,9H-AGH,"Stored, last operated by Islas Airways"
ATR,ATR 72-500,766,2007,9H-AGG,"Stored, last operated by Islas Airways"
ATR,ATR 72-500,749,2007,B-22811,"Flying with TransAsia Airways, -500s are being replaced with new -600 deliveries"
ATR,ATR 72-500,723,2005,OY-JZU,"Flying with SAS, wet lease contract from Jet Time until?"
ATR,ATR 72-500,720,2005,YJ-AV71,"Flying with Air Vanuatu, -500 fleet will be replaced by a single -600 in 2016"
ATR,ATR 72-500,715,2004,EI-FNP,"Stored, last operated by Bangkok Airways"
ATR,ATR 72-500,696,2002,OY-YAT,"Stored, last operated by Air Tahiti"
ATR,ATR 72-500F,583,1999,EI-SOP,Marketed online by ASL Aviation Group as available for dry lease or ACMI
ATR,ATR 72-500F,577,1998,HB-ACE,Marketed online by ASL Aviation Group as available for dry lease or ACMI
ATR,ATR 72-500,567,1998,B-22807,"Flying with TransAsia Airways, -500s are being replaced with new -600 deliveries"
Airbus A340,A340-541,471,2003,A6-ERB,"Stored, last operated by Emirates, marketed by Airbus as available now (no availability type given)"
Airbus A340,A340-642,468,2003,D-AAAU,"Stored by Lufthansa Technik, last operated by China Eastern"
Airbus A340,A340-313,459,2002,RP-C3439,"Flying with Philippine Airlines, fleet will be retired by late/mid 2018"
Airbus A340,A340-541,457,2003,A6-ERA,"Stored, last operated by Emirates, marketed by Airbus as available now (no availability type given)"
Airbus A340,A340-313,406,2001,B-18802,"Stored, last operated by China Airlines"
Airbus A340,A340-313,402,2001,B-18801,"Stored, last operated by China Airlines"
Airbus A340,A340-313,387,2001,RP-C3438,"Flying with Philippine Airlines, fleet will be retired by late/mid 2018"
Airbus A340,A340-313,378,2000,ZS-SXG,"Flying with SAA, -300s will be replaced by A330-300s in second half of 2016"
Airbus A340,A340-313,332,2000,RP-C3437,"Flying with Philippine Airlines, fleet will be retired by late/mid 2018"
Airbus A340,A340-313X,329,2000,EC-HGV,"Flying with Iberia, marketed by Airbus as available for Sale in OCT16"
ATR,ATR 72-500,560,1998,OY-YAZ,"Stored by NAC, last operated by TransAsia Airways, OY- registration on 22SEP15"
ATR,ATR 42-500,556,1997,F-WNUI,"Stored, last operated by AZUL Linhas Aereas, marketed online by AELIS (no availability type given)"
ATR,ATR 42-500,534,1997,OY-YAL,"Stored, last operated by Fiji Airways, registered under NAC on 18FEB15"
ATR,ATR 42-500,522,1996,HK-4748,"Stored, last operated by Satena"
ATR,ATR 72-212,465,1995,E7-AAE,"Stored, last operated by BH Airlines"
ATR,ATR 72-202,489,1996,EC-GQF,"Flying with Canary Fly, marketed online by AELIS (no availability type given)"
ATR,ATR 72-202F,488,1996,EC-GRP,"Flying with Canary Fly, marketed online by AELIS (no availability type given)"
ATR,ATR 72-202,483,1996,M-ABEG,"Stored, last operated by Fly540, marketed online by AELIS (no availability type given)"
ATR,ATR 72-212,464,1995,E7-AAD,"Stored, last operated by BH Airlines"
ATR,ATR 72-202QC,373,1993,PK-HVH,Marketed online by AELIS Group (no availability type given)
Airbus A340,A340-313,318,2000,RP-C3436,"Flying with Philippine Airlines, fleet will be retired by late/mid 2018"
Airbus A340,A340-313,302,1999,RP-C3435,"Flying with Philippine Airlines, fleet will be retired by late/mid 2018"
Airbus A340,A340-313,278,1999,9M-XAC,"Stored, last operated by AirAsia X"
Airbus A340,A340-313X,264,1999,TBA,"ex B-2390,Stored, last operated by Air China, marketed by Airbus as available now for Sale or long term lease"
Airbus A340,A340-313X,243,1998,TBA,"ex B-2389,Stored, last operated by Air China, marketed by Airbus as available now (no availability type given)"
Airbus A340,A340-313,236,1998,A6-ERM,"Flying with Emirates, aircraft will be retired in 2016"
Airbus A340,A340-313,227,1998,B-HXJ,"Flying with Cathay Pacific, A340-300s being replaced by A350-900s"
Airbus A340,A340-313X,221,1998,EC-GUQ,"Flying with Iberia, A340-300s willl be retired and replaced with new A330-200s"
Airbus A340,A340-313,220,1998,B-HXI,"Stored, last operated by Cathay Pacific"
Airbus A340,A340-313,218,1998,B-HXH,"Flying with Cathay Pacific, A340-300s being replaced by A350-900s"
ATR,ATR 42-300F,312,1993,D-BCCC,"Under freighter conversion, previously operated by Aviateca, marketed online by IAC ,since 11APR16, as available for ACMI"
ATR,ATR 72-201,212,1991,LY-MCA,"Marketed online by Private Air ,since 29FEB16, as available for ACMI"
ATR,ATR 42-320F,116,1989,ZS-OVR,"Flying with Solenta Aviation, marketed by AELIS Group (no availability type given)"
ATR,ATR 42-300F,010,1986,LY-RUM,Marketed by DAT as available for Sale or ACMI worldwide
ATR,ATR 72-500,TBA,TBA,TBA,"Binter Canarias -500 fleet will be replaced by new -600s, first -600 delivery made on 16SEP15"
Boeing 737,737-8MC,44435,2015,EI-RUR,"Stored, last operated by Transaero"
Boeing 737,737-800,41841,2014,VQ-BMG,Marketed by Avinco as available for Lease or Sale
Boeing 737,737-800,41836,2014,VQ-BRR,Marketed by Avinco as available for Lease or Sale
Airbus A340,A340-313X,217,1998,EC-GUP,"Flying with Iberia, A340-300s willl be retired and replaced with new A330-200s"
Airbus A340,A340-313,208,1998,B-HXG,"Flying with Cathay Pacific, A340-300s being replaced by A350-900s"
Airbus A340,A340-313,197,1997,ZS-SXH,"Flying with SAA, -300s will be replaced by A330-300s in second half of 2016"
Airbus A340,A340-313X,192,1997,TBA,"ex B-2385,Stored, last operated by Air China, marketed by Airbus as available now (no availability type given)"
Airbus A340,A340-313,185,1997,A6-ERP,"Flying with Emirates, aircraft will be retired in 2016"
Airbus A340,A340-313,179,1997,HB-JMO,"Stored, last operated by Swiss, marketed by Airbus as available for Sale or long term lease"
Airbus A340,A340-313,175,1997,HB-JMN,"Flying with Swiss, marketed by Airbus as available for Sale or long term lease in JUN16"
Airbus A340,A340-313,166,1997,A6-ERN,"Flying with Emirates, aircraft will be retired in 2016"
Airbus A340,A340-313,163,1997,A6-ERO,"Flying with Emirates, aircraft will be retired in 2016"
Airbus A340,A340-313,160,1997,B-HXF,"Flying with Cathay Pacific, A340-300s being replaced by A350-900s"
Boeing 737,737-800,41710,2013,VQ-BRQ,Marketed by Avinco as available for Lease or Sale
Boeing 737,737-800,41709,2013,VQ-BRP,Marketed by Avinco as available for Lease or Sale
Boeing 737,737-800,41708,2013,VQ-BRK,Marketed by Avinco as available for Lease or Sale
Boeing 737,737-82R,40871,2010,TC-AAS,"Flying with Pegasus Airlines, marketed online by Private Air ,since 13MAY16, as available for ACMI"
Boeing 737,737-8KN,40236,2009,A6-FDF,"Flying with flydubai, aircraft likely to be returned to lessor after MAY16 (flydubai stated that 7 aircraft will be retired)"
Boeing 737,737-8KN,40235,2009,A6-FDE,"Flying with flydubai, aircraft likely to be returned to lessor after MAY16 (flydubai stated that 7 aircraft will be retired)"
Boeing 737,737-8KN,40234,2009,A6-FDD,"Flying with flydubai, aircraft likely to be returned to lessor after MAY16 (flydubai stated that 7 aircraft will be retired)"
Boeing 737,737-8KN,40233,2009,A6-FDC,"Flying with flydubai, aircraft likely to be returned to lessor after MAY16 (flydubai stated that 7 aircraft will be retired)"
Boeing 737,737-86N,39404,2011,OK-TVS,"Flying with Sunwing Airlines, wet lease contract from Travel Service until MAR-APR16"
Boeing 737,737-86N,39394,2012,OK-TVT,"Flying with Sunwing Airlines, wet lease contract from Travel Service until MAR-APR16"
Airbus A340,A340-313,157,1996,B-HXE,"Flying with Cathay Pacific, A340-300s being replaced by A350-900s"
Airbus A340,A340-313,146,1996,EC-GLE,"Flying with Iberia, A340-300s willl be retired and replaced with new A330-200s"
Airbus A340,A340-313,145,1996,EC-GJT,"Flying with Iberia, A340-300s willl be retired and replaced with new A330-200s"
Airbus A340,A340-313,134,1996,EC-GHX,"Stored, last operated by Iberia"
Airbus A340,A340-313,125,1996,EC-GGS,"Stored, last operated by Iberia"
Airbus A340,A340-313,114,1996,G-VSUN,"Stored, last operated by Virgin Atlantic"
Airbus A340,A340-313,104,1995,9K-ANA,"Flying with Kuwait Airways, A340s will be retired between late 2016 and JUN17 (per airlines' statement)"
Airbus A340,A340-313,101,1995,9K-ANB,"Flying with Kuwait Airways, A340s will be retired between late 2016 and JUN17 (per airlines' statement)"
Airbus A340,A340-313,090,1995,9K-ANC,"Flying with Kuwait Airways, A340s will be retired between late 2016 and JUN17 (per airlines' statement)"
Airbus A340,A340-313,089,1995,9K-AND,"Flying with Kuwait Airways, A340s will be retired between late 2016 and JUN17 (per airlines' statement)"
Boeing 747,747-830,37826,2011,N828BA,"Stored, last operated by Lufthansa"
Boeing 747,747-451,33001,2002,N675NW,"Stored, last operated by Delta Air Lines"
Boeing 747,747-41R,32746,2001,G-VROC,"Stored, last operated by Virgin Atlantic, marketed by Boeing as available for Lease or Sale"
Boeing 747,747-4D7,33771,2003,HS-TGG,"Flying with Thai Airways, will be replaced by A350s and 787s in 2017-2018"
Boeing 747,747-4D7,33770,2003,HS-TGF,"Flying with Thai Airways, will be replaced by A350s and 787s in 2017-2018"
Boeing 747,747-4D7,32370,2001,HS-TGB,"Flying with Thai Airways, will be replaced by A350s and 787s in 2017-2018"
Boeing 737,737-86J,37770,2012,D-ABMI,"Flying with Air Berlin, marketed by MCAP as available for Lease in MAR17"
Boeing 737,737-86J,37767,2012,D-ABMF,"Flying with Air Berlin, marketed by MCAP as available for Lease in MAR17"
Boeing 737,737-8GJ,37360,2009,OK-TSF,"Flying with Spicejet, wet lease contract from Travel Service until?"
Boeing 737,737-8HX,36434,2008,N364AG,"Stored, last operated by GOL Transportes Aereos, registered under trustee on 04MAY16"
Boeing 737,737-76J,36115,2008,D-ABLB,"Flying with Germania, 737 fleet will be replaced with A320 family aircraft until 2020 (per airlines' statement)"
