Category,Company,Contact_webPage,Contact_email,Contact_phone,Model,YoM,MSN,TFHs_TFCs,Engines,F_B_E,OL_A_S,LU,AD
"Aircraft, (Jets and Turboprops)",Airbus A330,"DAE Capital, http://www.myairlease.com/available/dae_capital","Mr. D. Houlihan, mailto:marketing@dubaiaerospace.com?Subject=Query%20for%20MSN%20295%20listed%20in%20myairlease.com",+971 50 65 66131,A330-243,1999,0295,OR,Trent 772B-60,OR,OL,1604,1607
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Greenwich Highland Aviation, http://www.myairlease.com/available/greenwich_highland_aviation","Mr. S. Peebles, mailto:stuart@greenwichhighland.com?Subject=Query%20for%20MSN%20746%20listed%20in%20myairlease.com",+1 202 262 8036,A321-131,1997,0746,OR,V2530-A5,0/12/170,OL/S,1601,1610
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Greenwich Highland Aviation, http://www.myairlease.com/available/greenwich_highland_aviation","Mr. S. Peebles, mailto:stuart@greenwichhighland.com?Subject=Query%20for%20MSN%20731%20listed%20in%20myairlease.com",+1 202 262 8036,A321-131,1997,0731,OR,V2530-A5,0/12/170,OL/S,1601,1609
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Limitless Airways, http://www.myairlease.com/available/limitless_airways","Mr. V. Radusin, mailto:vedran.radusin@limitlessairways.hr?Subject=Query%20for%20MSN%20828%20listed%20in%20myairlease.com",+385 99 344 6916,A320-214,1998,0828,53262/33403,CFM56-5B4/P,0/0/180,A,1603,IMM
"Aircraft, (Jets and Turboprops)",Airbus A330,"DAE Capital, http://www.myairlease.com/available/dae_capital","Mr. D. Houlihan, mailto:marketing@dubaiaerospace.com?Subject=Query%20for%20MSN%20293%20listed%20in%20myairlease.com",+971 50 65 66131,A330-243,1999,0293,OR,Trent 772B-60,OR,OL,1604,IMM
"Aircraft, (Jets and Turboprops)",Airbus A330,"DAE Capital, http://www.myairlease.com/available/dae_capital","Mr. D. Houlihan, mailto:marketing@dubaiaerospace.com?Subject=Query%20for%20MSN%20283%20listed%20in%20myairlease.com",+971 50 65 66131,A330-243,1999,0283,OR,Trent 772B-60,OR,OL,1604,IMM
"Aircraft, (Jets and Turboprops)",Airbus A330,"DVB Bank, http://www.myairlease.com/available/dvb","Mr. J. Louch, mailto:aircraftsales@dvbbank.com?Subject=Query%20for%20MSN%20452%20listed%20in%20myairlease.com",+44 207 2564 449,A330-200,2002,0452,OR,Trent 772B-60,OR,OL/S,1605,1701
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Macquarie Airfinance, http://www.myairlease.com/available/macquarie_airfinance","Marketing, mailto:info@macquarie.aero?Subject=Query%20for%20MSN%204562%20listed%20in%20myairlease.com",......,A320-214,2011,4562,OR,CFM56-5B4/3,OR,OL,1604,1702
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Macquarie Airfinance, http://www.myairlease.com/available/macquarie_airfinance","Marketing, mailto:info@macquarie.aero?Subject=Query%20for%20MSN%202228%20listed%20in%20myairlease.com",......,A319-115,2004,2228,OR,CFM56-5B5/P,OR,OL/S,1604,1702
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"MHB Aviation Consultants, http://www.myairlease.com/available/mhb_aviation_consultants","Mr. I. Blight, mailto:iblight@mhbaviation.com?Subject=Query%20for%20MSN%202462%20listed%20in%20myairlease.com",+44 1276 473887,A321-231,2005,2462,OR,V2533-A5,0/0/216,A,1602,IMM
"Aircraft, (Jets and Turboprops)",Airbus A340,"AerFin, http://www.myairlease.com/available/aerfin","Mr. A. Lawrence, mailto:andrew.lawrence@AerFin.com?Subject=Query%20for%20MSN%20147%20listed%20in%20myairlease.com",+44 2921 676 299,A340-313,1997,147,90504/13716,CFM56-5C4,OR,OL/S,1603,IMM
"Aircraft, (Jets and Turboprops)",Airbus A340,"AerFin, http://www.myairlease.com/available/aerfin","Mr. A. Lawrence, mailto:andrew.lawrence@AerFin.com?Subject=Query%20for%20MSN%20142%20listed%20in%20myairlease.com",+44 2921 676 299,A340-313,1997,142,91517/13730,CFM56-5C4,OR,OL/S,1603,IMM
"Aircraft, (Jets and Turboprops)",Airbus A330,"DVB Bank, http://www.myairlease.com/available/dvb","Mr. J. Louch, mailto:aircraftsales@dvbbank.com?Subject=Query%20for%20MSN%20491%20listed%20in%20myairlease.com",+44 207 2564 449,A330-200,2002,0491,OR,Trent 772B-60,OR,OL/S,1605,IMM
"Aircraft, (Jets and Turboprops)",Airbus A330,"DVB Bank, http://www.myairlease.com/available/dvb","Mr. J. Louch, mailto:aircraftsales@dvbbank.com?Subject=Query%20for%20MSN%20509%20listed%20in%20myairlease.com",+44 207 2564 449,A330-200,2002,0509,OR,Trent 772B-60,OR,OL/S,1605,IMM
"Aircraft, (Jets and Turboprops)",Airbus A330,"FPG Amentum, http://www.myairlease.com/available/amentum_capital","Mr. S. Clements, mailto:marketing@fpg-amentum.aero?Subject=Query%20for%20MSN%201002%20listed%20in%20myairlease.com",+353 1 631 0334,A330-223,2009,1002,OR,PW4168A,0/24/259,OL/S,1602,1701
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"MHB Aviation Consultants, http://www.myairlease.com/available/mhb_aviation_consultants","Mr. I. Blight, mailto:iblight@mhbaviation.com?Subject=Query%20for%20MSN%20622%20listed%20in%20myairlease.com",+44 1276 473887,A320-200,1996,0622,OR,CFM56-5A1,0/0/173,A,1602,IMM
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"MHB Aviation Consultants, http://www.myairlease.com/available/mhb_aviation_consultants","Mr. I. Blight, mailto:iblight@mhbaviation.com?Subject=Query%20for%20MSN%20%20listed%20in%20myairlease.com",+44 1276 473887,A319-100,2007,3096,OR,CFM56-5A5,0/10/100,A,1602,IMM
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Olympus Airways, http://www.myairlease.com/available/olympus_airways","Mr. B Karatas, mailto:batu@olympusairways.gr?Subject=Query%20for%20MSN%201612%20listed%20in%20myairlease.com",+90 532 443 1616,A319-112,2001,1612,OR,CFM56-5B6,0/0/144,A,1603,IMM
"Aircraft, (Jets and Turboprops)",Airbus A340,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%20319%20listed%20in%20myairlease.com",+971 4 2500373,A340-313,2000,319,65235/8955,CFM56-5C4,0/30/245(21*),A,1605,IMM
"Aircraft, (Jets and Turboprops)",Airbus A340,"D&D Aviation Logistics, http://www.myairlease.com/available/dd_aviation_logistics","Mrs. S. Desloovere, mailto:stefanie@dd-avialog.com?Subject=Query%20for%20MSN%20212%20listed%20in%20myairlease.com",+32 483 398 374,A340-300,1998,212,57241/OR,CFM56-5C4,0/18/285,A,1601,IMM
"Aircraft, (Jets and Turboprops)",Airbus A340,"Hi Fly, http://www.myairlease.com/available/hifly","Mrs. F. Brioso, mailto:sales@hifly.aero?Subject=Query%20for%20MSN%20912%20listed%20in%20myairlease.com",+351 21 11 436 80,A340-500,2008,912,OR,Trent 553-61,0/36/201,OL/A,1605,IMM
"Aircraft, (Jets and Turboprops)",Airbus A330,"FPG Amentum, http://www.myairlease.com/available/amentum_capital","Mr. S. Clements, mailto:marketing@fpg-amentum.aero?Subject=Query%20for%20MSN%20979%20listed%20in%20myairlease.com",+353 1 631 0334,A330-223,2009,0979,OR,PW4168A,0/24/259,OL/S,1602,1610
"Aircraft, (Jets and Turboprops)",Airbus A330,"FPG Amentum, http://www.myairlease.com/available/amentum_capital","Mr. S. Clements, mailto:marketing@fpg-amentum.aero?Subject=Query%20for%20MSN%20962%20listed%20in%20myairlease.com",+353 1 631 0334,A330-223,2008,0962,OR,PW4168A,0/24/256,OL/S,1602,IMM
"Aircraft, (Jets and Turboprops)",Airbus A330,"FPG Amentum, http://www.myairlease.com/available/amentum_capital","Mr. S. Clements, mailto:marketing@fpg-amentum.aero?Subject=Query%20for%20MSN%20943%20listed%20in%20myairlease.com",+353 1 631 0334,A330-223,2008,0943,OR,PW4168A,0/24/256,OL/S,1602,IMM
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"ORIX Aviation, http://www.myairlease.com/available/orix_aviation","Mr. O. Riordan, mailto:oisin.riordan@orix.ie?Subject=Query%20for%20MSN%202680%20listed%20in%20myairlease.com",+353 863 350 004,A320-200,2006,2680,OR,V2527-A5,OR,OL,1604,1706
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"ORIX Aviation, http://www.myairlease.com/available/orix_aviation","Mr. D. Cunnigham, mailto:daniel.cunningham@orix.ie?Subject=Query%20for%20MSN%202501%20listed%20in%20myairlease.com",+353 871 774 524,A319-100,2005,2501,OR,V2522-A5,OR,OL,1604,1706
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"ORIX Aviation, http://www.myairlease.com/available/orix_aviation","Mr. P. O'Dwyer, mailto:paul.odwyer@orix.ie?Subject=Query%20for%20MSN%201888%20listed%20in%20myairlease.com",+353 863 822 960,A320-200,2002,1888,OR,V2527-A5,OR,S,1604,1705
"Aircraft, (Jets and Turboprops)",Airbus A340,"Hi Fly, http://www.myairlease.com/available/hifly","Mrs. F. Brioso, mailto:sales@hifly.aero?Subject=Query%20for%20MSN%20367%20listed%20in%20myairlease.com",+351 21 11 436 80,A340-300,2000,367,OR,CFM56-5C4,0/24/271,OL/A,1605,IMM
"Aircraft, (Jets and Turboprops)",Airbus A340,"Hi Fly, http://www.myairlease.com/available/hifly","Mrs. F. Brioso, mailto:sales@hifly.aero?Subject=Query%20for%20MSN%20202%20listed%20in%20myairlease.com",+351 21 11 436 80,A340-300,1997,202,OR,CFM56-5C4,12/42/213,OL/A,1605,IMM
"Aircraft, (Jets and Turboprops)",Airbus A340,"Hi Fly, http://www.myairlease.com/available/hifly","Mrs. F. Brioso, mailto:sales@hifly.aero?Subject=Query%20for%20MSN%20117%20listed%20in%20myairlease.com",+351 21 11 436 80,A340-300,1995,0117,OR,CFM56-5C4,0/12/288,A,1605,IMM
"Aircraft, (Jets and Turboprops)",Airbus A330,"Hi Fly, http://www.myairlease.com/available/hifly","Mrs. F. Brioso, mailto:sales@hifly.aero?Subject=Query%20for%20MSN%201008%20listed%20in%20myairlease.com",+351 21 11 436 80,A330-243,2009,1008,OR,Trent 772B-60,0/42/288,A,1605,IMM
"Aircraft, (Jets and Turboprops)",Airbus A330,"Hi Fly, http://www.myairlease.com/available/hifly","Mrs. F. Brioso, mailto:sales@hifly.aero?Subject=Query%20for%20MSN%20262%20listed%20in%20myairlease.com",+351 21 11 436 80,A330-223,1999,0262,OR,PW4168A,0/24/242,A,1605,IMM
"Aircraft, (Jets and Turboprops)",Airbus A330,"Hi Fly, http://www.myairlease.com/available/hifly","Mrs. F. Brioso, mailto:sales@hifly.aero?Subject=Query%20for%20MSN%2096%20listed%20in%20myairlease.com",+351 21 11 436 80,A330-322,1995,0096,OR,PW4168,0/42/236,A,1605,IMM
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"ORIX Aviation, http://www.myairlease.com/available/orix_aviation","Mr. O. Riordan, mailto:oisin.riordan@orix.ie?Subject=Query%20for%20MSN%201183%20listed%20in%20myairlease.com",+353 863 350 004,A320-200,2000,1183,OR,V2527-A5,OR,OL/S,1604,1704
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Probus Aviation, http://www.myairlease.com/available/probus_aviation","Mr. A. Lee, mailto:adrian@probusaviation.com?Subject=Query%20for%20MSN%203175%20listed%20in%20myairlease.com",+44 20 8123 2787,A319-133,2007,3175,OR,V2527M-A5,OR,S,1601,1703
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Probus Aviation, http://www.myairlease.com/available/probus_aviation","Mr. A. Lee, mailto:adrian@probusaviation.com?Subject=Query%20for%20MSN%203077%20listed%20in%20myairlease.com",+44 20 8123 2787,A319-133,2007,3077,OR,V2527M-A5,OR,S,1601,1609
"Aircraft, (Jets and Turboprops)",Airbus A330,"KLM, http://www.myairlease.com/available/klm","Mr. H.J van der Hoek, mailto:Henk-Jan-van-der.Hoek@klm.com?Subject=Query%20for%20MSN%20703%20listed%20in%20myairlease.com",+31 20 649 6163,A330-203,2005,0703,OR,CF6-80E1A3,OR,S,1601,IMM
"Aircraft, (Jets and Turboprops)",Airbus A330,"KLM, http://www.myairlease.com/available/klm","Mr. H.J van der Hoek, mailto:Henk-Jan-van-der.Hoek@klm.com?Subject=Query%20for%20MSN%20686%20listed%20in%20myairlease.com",+31 20 649 6163,A330-203,2005,0686,OR,CF6-80E1A3,OR,S,1601,IMM
"Aircraft, (Jets and Turboprops)",Airbus A330,"ORIX Aviation, http://www.myairlease.com/available/orix_aviation","Mr. D. Cunnigham, mailto:daniel.cunningham@orix.ie?Subject=Query%20for%20MSN%20887%20listed%20in%20myairlease.com",+353 871 774 524,A330-200,2007,887,OR,CF6-80E1A3,OR,OL,1604,1803
"Aircraft, (Jets and Turboprops)",Antonov,"Geleon Trade, http://www.myairlease.com/available/geleon_trade","Mr. P. Komardin, mailto:komardine@gmail.com?Subject=Query%20for%20MSN%2036547096923%20listed%20in%20myairlease.com",+7 916 223 0808,An-74-200,1992,36547096923,3955/1978,D-36-3A,Freighter,A/S,1603,IMM
"Aircraft, (Jets and Turboprops)",Antonov,"Geleon Trade, http://www.myairlease.com/available/geleon_trade","Mr. P. Komardin, mailto:komardine@gmail.com?Subject=Query%20for%20MSN%2036547098944%20listed%20in%20myairlease.com",+7 916 223 0808,An-74-200,1994,36547098944,3814/1907,D-36-2A,Freighter,A/S,1603,IMM
"Aircraft, (Jets and Turboprops)",Antonov,"Geleon Trade, http://www.myairlease.com/available/geleon_trade","Mr. P. Komardin, mailto:komardine@gmail.com?Subject=Query%20for%20MSN%2036547098965%20listed%20in%20myairlease.com",+7 916 223 0808,An-74-200,1995,36547098965,4507/1949,D-36-3A,Freighter,A/S,1603,IMM
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Volito Aviation, http://www.myairlease.com/available/volito_aviation","Mr. S. Kristinsson, mailto:siggi.kristinsson@volito.aero?Subject=Query%20for%20MSN%201276%20listed%20in%20myairlease.com",+46 40 660 32 35,A321-231,2000,1276,44312/16854,V2533-A5,0/0/220,OL/S,1603,IMM
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"White Airways, http://www.myairlease.com/available/white_airways","Sales Dpt., mailto:sales@flywhite.com?Subject=Query%20for%20MSN%20548%20listed%20in%20myairlease.com",+351 219 457 560,A320-214,1995,0548,OR,CFM56-5B4,0/0/174,OL/A,1604,IMM
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Zela Aviation, http://www.myairlease.com/available/zela_aviation","Mr. A. Pericleous, mailto:acmi@zelaaviation.com?Subject=Query%20for%20MSN%203139%20listed%20in%20myairlease.com",+357 25 34 68 15,A319-100,2007,3139,OR,CFM56-5B5,0/0/150,A,1605,IMM
"Aircraft, (Jets and Turboprops)",Airbus A330,"Zela Aviation, http://www.myairlease.com/available/zela_aviation","Mr. A. Pericleous, mailto:acmi@zelaaviation.com?Subject=Query%20for%20MSN%20255%20listed%20in%20myairlease.com",+357 25 34 68 15,A330-200,1999,0255,OR,PW4168A,0/24/246,A,1605,IMM
"Aircraft, (Jets and Turboprops)",Antonov,"Geleon Trade, http://www.myairlease.com/available/geleon_trade","Mr. P. Komardin, mailto:komardine@gmail.com?Subject=Query%20for%20MSN%201402%20listed%20in%20myairlease.com",+7 916 223 0808,An-30,1978,1402,5630/3980,AI-24T,Freighter,A,1603,IMM
"Aircraft, (Jets and Turboprops)",Antonov,"Geleon Trade, http://www.myairlease.com/available/geleon_trade","Mr. P. Komardin, mailto:komardine@gmail.com?Subject=Query%20for%20MSN%201G22628%20listed%20in%20myairlease.com",+7 916 223 0808,An-2,1987,1G22628,1825/1508,ASH-62IR,0/0/12,A/S,1603,IMM
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Zela Aviation, http://www.myairlease.com/available/zela_aviation","Mr. A. Pericleous, mailto:acmi@zelaaviation.com?Subject=Query%20for%20MSN%202844%20listed%20in%20myairlease.com",+357 25 34 68 15,A320-200,2006,2844,OR,V2527-A5,0/0/180,A,1605,IMM
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Zela Aviation, http://www.myairlease.com/available/zela_aviation","Mr. T. Papadopoulos, mailto:tasos@zelaaviation.com?Subject=Query%20for%20MSN%201554%20listed%20in%20myairlease.com",+357 88 35 44 93,A321-211,2001,1554,OR,CFM56-5B3/P,0/0/200,A,1605,IMM
"Aircraft, (Jets and Turboprops)",ATR,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%20681%20listed%20in%20myairlease.com",+971 4 2500373,ATR 72-500,2001,681,34228/28146,PW127F,0/0/64,A,1605,IMM
"Aircraft, (Jets and Turboprops)",ATR,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%20637%20listed%20in%20myairlease.com",+971 4 2500373,ATR 42-500,2005,637,19735/18801,PW127F,0/0/48,A,1605,IMM
"Aircraft, (Jets and Turboprops)",ATR,"Airstream International, http://www.myairlease.com/available/airstream_international","Mr. D. Skeldon, mailto:david@airstream.aero?Subject=Query%20for%20MSN%20194%20listed%20in%20myairlease.com",+44 1483 235737,ATR 42-320,1990,194,OR,PW121,0/0/46,S,1605,IMM
"Aircraft, (Jets and Turboprops)",ATR,"Airstream International, http://www.myairlease.com/available/airstream_international","Mr. D. Skeldon, mailto:david@airstream.aero?Subject=Query%20for%20MSN%20096%20listed%20in%20myairlease.com",+44 1483 235737,ATR 42-320,1988,096,OR,PW121,0/0/46,S,1605,IMM
"Aircraft, (Jets and Turboprops)",ATR,"BAC Leasing, http://www.myairlease.com/available/bac_leasing","Mr. D. Robinson, mailto:david.robinson@bac-leasing.com?Subject=Query%20for%20MSN%20373%20listed%20in%20myairlease.com",+44 1732 522493,ATR 72-202QC,1994,373,OR,PW124B,0/0/66,OL/A,1602,IMM
"Aircraft, (Jets and Turboprops)",ATR,"Castlelake, http://www.myairlease.com/available/castlelake","Mr. C. Buckley, mailto:chris.buckley@castlelake.com?Subject=Query%20for%20MSN%201042%20listed%20in%20myairlease.com",+44 207 190 6125,ATR 72-600,2013,1042,OR,PW127M,OR,OL/S,1603,IMM
