Category,Company,Contact_webPage,Contact_email,Contact_phone,Model,YoM,MSN,TFHs_TFCs,Engines,F_B_E,OL_A_S,LU,AD,ESN,L_E_S
"Aircraft, (Turboprops only)",,"Airstream International, http://www.myairlease.com/available/airstream_international","Mr. D. Skeldon, mailto:david@airstream.aero?Subject=Query%20for%20MSN%20096%20listed%20in%20myairlease.com",+44 1483 235737,ATR 42-320,1988,096,OR,PW121,0/0/46,S,1605,IMM,,
"Aircraft, (Turboprops only)",,"Airstream International, http://www.myairlease.com/available/airstream_international","Mr. D. Skeldon, mailto:david@airstream.aero?Subject=Query%20for%20MSN%204183%20listed%20in%20myairlease.com",+44 1483 235737,DHC8-400Q,2007,4183,15700/16800,PW150A,0/0/78,S,1605,IMM,,
"Aircraft, (Turboprops only)",,"Airstream International, http://www.myairlease.com/available/airstream_international","Mr. D. Skeldon, mailto:david@airstream.aero?Subject=Query%20for%20MSN%20467%20listed%20in%20myairlease.com",+44 1483 235737,DHC8-311,1997,467,OR,PW123,0/0/56,OL/S,1605,IMM,,
"Aircraft, (Turboprops only)",,"Airstream International, http://www.myairlease.com/available/airstream_international","Mr. D. Skeldon, mailto:david@airstream.aero?Subject=Query%20for%20MSN%20276%20listed%20in%20myairlease.com",+44 1483 235737,DHC8-300,1991,276,31730/28515,PW123,0/0/50,OL/S,1605,IMM,,
"Aircraft, (Turboprops only)",,"Airstream International, http://www.myairlease.com/available/airstream_international","Mr. D. Skeldon, mailto:david@airstream.aero?Subject=Query%20for%20MSN%20008%20listed%20in%20myairlease.com",+44 1483 235737,DHC8-100,1985,008,OR,PW120,0/0/36,OL/S,1605,IMM,,
"Aircraft, (Turboprops only)",,"Airstream International, http://www.myairlease.com/available/airstream_international","Mr. I. Player, mailto:ivan@airstream.aero?Subject=Query%20for%20MSN%203101%20listed%20in%20myairlease.com",+44 1483 235 737,Dornier 328-110,1998,3101,26739/26362,PW119B,OR,S,1605,IMM,,
"Aircraft, (Turboprops only)",,"Airwork Flight Operations, http://www.myairlease.com/available/airwork","Mr. K. Edwards, mailto:karl.edwards@airwork.co.nz?Subject=Query%20for%20MSN%2010680%20listed%20in%20myairlease.com",+64 9 256 7500,Fokker 27-500,1985,10680,33716/37126,Dart 532-7R,Freighter,S,1601,IMM,,
"Aircraft, (Turboprops only)",,"Airwork Flight Operations, http://www.myairlease.com/available/airwork","Mr. K. Edwards, mailto:karl.edwards@airwork.co.nz?Subject=Query%20for%20MSN%2010596%20listed%20in%20myairlease.com",+64 9 256 7500,Fokker 27-500,1980,10596,30643/33198,Dart 532-7R,Freighter,S,1601,IMM,,
"Aircraft, (Turboprops only)",,"ASG Aviation Solutions, http://www.myairlease.com/available/asg","Mr. L. Schindler, mailto:lutz.schindler@asg.aero?Subject=Query%20for%20MSN%203023%20listed%20in%20myairlease.com",+49 6893 9638 751,Dornier 328-110,1995,3023,32800/29600,PW119B,0/0/31,OL/S,1602,IMM,,
"Aircraft, (Turboprops only)",,"Aviation Jet Consultants, http://www.myairlease.com/available/aviation_jet_consultants","Mr. L. Nicholls, mailto:LNicholls@avjet.co.za?Subject=Query%20for%20MSN%20458%20listed%20in%20myairlease.com",+27 21 936 4400,Convair 580,1957,458,OR,Allison 501-D13,Freighter,A,1601,IMM,,
"Aircraft, (Turboprops only)",,"AvMax Aircraft Leasing, http://www.myairlease.com/available/avmax","Mr. A. Cunningham, mailto:andrew.cunningham@avmax.com?Subject=Query%20for%20MSN%20522%20listed%20in%20myairlease.com",+44 7900 411203,DHC8-200,1999,522,OR,PW123D,0/0/37,OL/S,1605,IMM,,
"Aircraft, (Turboprops only)",,"AvMax Aircraft Leasing, http://www.myairlease.com/available/avmax","Mr. A. Cunningham, mailto:andrew.cunningham@avmax.com?Subject=Query%20for%20MSN%20509%20listed%20in%20myairlease.com",+44 7900 411203,DHC8-200,1998,509,OR,PW123D,0/0/37,OL/S,1605,IMM,,
"Aircraft, (Turboprops only)",,"AvMax Aircraft Leasing, http://www.myairlease.com/available/avmax","Mr. A. Cunningham, mailto:andrew.cunningham@avmax.com?Subject=Query%20for%20MSN%20507%20listed%20in%20myairlease.com",+44 7900 411203,DHC8-200,1998,507,OR,PW123D,0/0/37,OL/S,1605,IMM,,
"Aircraft, (Turboprops only)",,"AvMax Aircraft Leasing, http://www.myairlease.com/available/avmax","Mr. A. Cunningham, mailto:andrew.cunningham@avmax.com?Subject=Query%20for%20MSN%20497%20listed%20in%20myairlease.com",+44 7900 411203,DHC8-200,1997,497,OR,PW123D,0/0/37,OL/S,1605,IMM,,
"Aircraft, (Turboprops only)",,"AvMax Aircraft Leasing, http://www.myairlease.com/available/avmax","Mr. A. Cunningham, mailto:andrew.cunningham@avmax.com?Subject=Query%20for%20MSN%20484%20listed%20in%20myairlease.com",+44 7900 411203,DHC8-200,1997,484,OR,PW123D,0/0/37,OL/S,1605,IMM,,
"Aircraft, (Turboprops only)",,"AvMax Aircraft Leasing, http://www.myairlease.com/available/avmax","Mr. A. Cunningham, mailto:andrew.cunningham@avmax.com?Subject=Query%20for%20MSN%20479%20listed%20in%20myairlease.com",+44 7900 411203,DHC8-200,1997,479,OR,PW123D,0/0/37,OL/S,1605,IMM,,
"Aircraft, (Turboprops only)",,"AvMax Aircraft Leasing, http://www.myairlease.com/available/avmax","Mr. A. Cunningham, mailto:andrew.cunningham@avmax.com?Subject=Query%20for%20MSN%20478%20listed%20in%20myairlease.com",+44 7900 411203,DHC8-200,1997,478,OR,PW123D,0/0/37,OL/S,1605,IMM,,
"Aircraft, (Turboprops only)",,"AvMax Aircraft Leasing, http://www.myairlease.com/available/avmax","Mr. A. Cunningham, mailto:andrew.cunningham@avmax.com?Subject=Query%20for%20MSN%20388%20listed%20in%20myairlease.com",+44 7900 411203,DHC8-102,1994,388,43300/46500,PW120A,0/0/37,OL/S,1605,IMM,,
"Aircraft, (Turboprops only)",,"AvMax Aircraft Leasing, http://www.myairlease.com/available/avmax","Mr. A. Cunningham, mailto:andrew.cunningham@avmax.com?Subject=Query%20for%20MSN%20373%20listed%20in%20myairlease.com",+44 7900 411203,DHC8-103,1994,373,35200/45400,PW120A,0/0/37,OL/S,1605,IMM,,
"Aircraft, (Turboprops only)",,"AvMax Aircraft Leasing, http://www.myairlease.com/available/avmax","Mr. A. Cunningham, mailto:andrew.cunningham@avmax.com?Subject=Query%20for%20MSN%20315%20listed%20in%20myairlease.com",+44 7900 411203,DHC8-311,1992,315,36700/44200,PW120A,0/0/50,OL/S,1605,IMM,,
"Aircraft, (Turboprops only)",,"AvMax Aircraft Leasing, http://www.myairlease.com/available/avmax","Mr. A. Cunningham, mailto:andrew.cunningham@avmax.com?Subject=Query%20for%20MSN%20521%20listed%20in%20myairlease.com",+44 7900 411203,DHC6-300,1997,521,34900/31200,PT6A-27,0/0/19,OL/S,1605,IMM,,
"Aircraft, (Turboprops only)",,"AvMax Aircraft Leasing, http://www.myairlease.com/available/avmax","Mr. A. Cunningham, mailto:andrew.cunningham@avmax.com?Subject=Query%20for%20MSN%20320%20listed%20in%20myairlease.com",+44 7900 411203,DHC6-300,1971,320,31300/23800,PT6A-27,0/0/19,OL/S,1605,IMM,,
"Aircraft, (Turboprops only)",,"BAC Leasing, http://www.myairlease.com/available/bac_leasing","Mr. D. Robinson, mailto:david.robinson@bac-leasing.com?Subject=Query%20for%20MSN%20373%20listed%20in%20myairlease.com",+44 1732 522493,ATR 72-202QC,1994,373,OR,PW124B,0/0/66,OL/A,1602,IMM,,
"Aircraft, (Turboprops only)",,"BAC Leasing, http://www.myairlease.com/available/bac_leasing","Mr. D. Robinson, mailto:david.robinson@bac-leasing.com?Subject=Query%20for%20MSN%20614%20listed%20in%20myairlease.com",+44 1732 522493,DHC8-315Q,2005,614,OR,PW123,0/0/50,S,1602,IMM,,
"Aircraft, (Turboprops only)",,"BAC Leasing, http://www.myairlease.com/available/bac_leasing","Mr. D. Robinson, mailto:david.robinson@bac-leasing.com?Subject=Query%20for%20MSN%20613%20listed%20in%20myairlease.com",+44 1732 522493,DHC8-315Q,2005,613,OR,PW123,0/0/50,S,1602,IMM,,
"Aircraft, (Turboprops only)",,"BAC Leasing, http://www.myairlease.com/available/bac_leasing","Mr. D. Robinson, mailto:david.robinson@bac-leasing.com?Subject=Query%20for%20MSN%20608%20listed%20in%20myairlease.com",+44 1732 522493,DHC8-315Q,2004,608,OR,PW123,0/0/50,S,1602,IMM,,
"Aircraft, (Turboprops only)",,"BAC Leasing, http://www.myairlease.com/available/bac_leasing","Mr. D. Robinson, mailto:david.robinson@bac-leasing.com?Subject=Query%20for%20MSN%20543%20listed%20in%20myairlease.com",+44 1732 522493,DHC8-300Q,2000,543,OR,PW123B,OR,S,1602,IMM,,
"Aircraft, (Turboprops only)",,"BAC Leasing, http://www.myairlease.com/available/bac_leasing","Mr. D. Robinson, mailto:david.robinson@bac-leasing.com?Subject=Query%20for%20MSN%20521%20listed%20in%20myairlease.com",+44 1732 522493,DHC8-300Q,1998,521,OR,PW123B,OR,S,1602,IMM,,
"Aircraft, (Turboprops only)",,"BAC Leasing, http://www.myairlease.com/available/bac_leasing","Mr. D. Robinson, mailto:david.robinson@bac-leasing.com?Subject=Query%20for%20MSN%2010631%20listed%20in%20myairlease.com",+44 1732 522493,Fokker 27-500,1982,10631,OR,Dart 536-7,OR,A/S,1602,IMM,,
"Aircraft, (Turboprops only)",,"BAC Leasing, http://www.myairlease.com/available/bac_leasing","Mr. D. Robinson, mailto:david.robinson@bac-leasing.com?Subject=Query%20for%20MSN%2010642%20listed%20in%20myairlease.com",+44 1732 522493,Fokker 27-500,1982,10642,OR,Dart 536-7,OR,A/S,1602,IMM,,
"Aircraft, (Turboprops only)",,"CAAMS Leasing, http://www.myairlease.com/available/caams","Mr. M. Clyne, mailto:info@caamsllc.com?Subject=Query%20for%20MSN%20356%20listed%20in%20myairlease.com",+1 561 308 5926,CASA 212-200,1988,356,14650/20140,TPE331-10R-512C,0/0/19,S,1605,IMM,,
"Aircraft, (Turboprops only)",,"CAAMS Leasing, http://www.myairlease.com/available/caams","Mr. M. Clyne, mailto:info@caamsllc.com?Subject=Query%20for%20MSN%20857%20listed%20in%20myairlease.com",+1 561 308 5926,DHC6-400,2012,857,350/540,PT6A-34,0/0/15,OL/S,1605,IMM,,
"Aircraft, (Turboprops only)",,"CAAMS Leasing, http://www.myairlease.com/available/caams","Mr. M. Clyne, mailto:info@caamsllc.com?Subject=Query%20for%20MSN%20831%20listed%20in%20myairlease.com",+1 561 308 5926,DHC6-300,1986,831,15497/15501,PT6A-34,0/0/19,OL/S,1605,IMM,,
"Aircraft, (Turboprops only)",,"CAAMS Leasing, http://www.myairlease.com/available/caams","Mr. M. Clyne, mailto:info@caamsllc.com?Subject=Query%20for%20MSN%20524%20listed%20in%20myairlease.com",+1 561 308 5926,DHC6-300,1977,524,28110/54843,PT6A-27,0/0/17,OL/S,1605,IMM,,
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%203406%20listed%20in%20myairlease.com",+971 4 2500373,A319-112,2008,3406,22500/12361,CFM56-5B,0/0/135,A,1605,IMM,,
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%202933%20listed%20in%20myairlease.com",+971 4 2500373,A321-232,2006,2933,OR,V2530-A5,0/0/220,A,1605,IMM,,
"Aircraft, (Turboprops only)",,"Castlelake, http://www.myairlease.com/available/castlelake","Mr. C. Buckley, mailto:chris.buckley@castlelake.com?Subject=Query%20for%20MSN%201042%20listed%20in%20myairlease.com",+44 207 190 6125,ATR 72-600,2013,1042,OR,PW127M,OR,OL/S,1603,IMM,,
"Aircraft, (Turboprops only)",,"Castlelake, http://www.myairlease.com/available/castlelake","Mr. C. Buckley, mailto:chris.buckley@castlelake.com?Subject=Query%20for%20MSN%201038%20listed%20in%20myairlease.com",+44 207 190 6125,ATR 72-600,2012,1038,OR,PW127M,OR,OL/S,1603,IMM,,
"Aircraft, (Turboprops only)",,"Castlelake, http://www.myairlease.com/available/castlelake","Mr. C. Buckley, mailto:chris.buckley@castlelake.com?Subject=Query%20for%20MSN%20447%20listed%20in%20myairlease.com",+44 207 190 6125,DHC8-202,1996,447,OR,PW123D,OR,OL/S,1603,IMM,,
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Aerotask, http://www.myairlease.com/available/aerotask","Mr. R. Sitta, mailto:fleet@aerotask.ae?Subject=Query%20for%20MSN%2081%20listed%20in%20myairlease.com",+971 4 2500373,A320-231,1989,0081,OR,V2500-A1,0/0/174,A,1605,IMM,,
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Aerovista, http://www.myairlease.com/available/aerovista","Mr. Z. Siddiq, mailto:zulqarnain.siddiq@aerovista.aero?Subject=Query%20for%20MSN%20879%20listed%20in%20myairlease.com",+971 50 991 9393,A320-232,1998,0879,43312/22209,CFM56-5B4/P,0/0/174,OL/A,1604,1610,,
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Air VIA, http://www.myairlease.com/available/air_via","Mr. M. Poranske, mailto:mp@air-via.com?Subject=Query%20for%20MSN%201060%20listed%20in%20myairlease.com",+359 876 441499,A321-231,1999,1060,OR,V2533-A5,0/0/220,A,1605,1610,,
"Aircraft, (Turboprops only)",,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20MSN%20895%20listed%20in%20myairlease.com",+1 786 380 6871,Jetstream 32,1990,895,24601/27079,TPE331-12UHR-701H,Freighter,S,1603,IMM,,
"Aircraft, (Turboprops only)",,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20MSN%20899%20listed%20in%20myairlease.com",+1 786 380 6871,Jetstream 32,1990,899,24276/26831,TPE331-12UHR-701H,Freighter,S,1603,IMM,,
"Aircraft, (Turboprops only)",,"Celerak, http://www.myairlease.com/available/celerak","Mr. C. Ospina, mailto:cristobal@celerak.com?Subject=Query%20for%20MSN%20894%20listed%20in%20myairlease.com",+1 786 380 6871,Jetstream 32,1990,894,24500/26719,TPE331-12UHR-701H,Freighter,S,1603,IMM,,
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Balkan Air, http://www.myairlease.com/available/balkan_air","Mr. M. Poranske, mailto:sales@airbg.eu?Subject=Query%20for%20MSN%203028%20listed%20in%20myairlease.com",+359 876 441499,A319-111,2007,3028,18100/8332,CFM56-5B5,0/8/126,A,1605,1610,,
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Balkan Air, http://www.myairlease.com/available/balkan_air","Mr. M. Poranske, mailto:sales@airbg.eu?Subject=Query%20for%20MSN%202596%20listed%20in%20myairlease.com",+359 876 441499,A320-214,2005,2596,OR,CFM56-5B4,0/0/180,A,1605,1610,,
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Balkan Air, http://www.myairlease.com/available/balkan_air","Mr. M. Poranske, mailto:sales@airbg.eu?Subject=Query%20for%20MSN%202540%20listed%20in%20myairlease.com",+359 876 441499,A320-214,2005,2540,OR,CFM56-5B4,0/0/180,A,1605,1610,,
"Aircraft, (Turboprops only)",,"Condor Aviation, http://www.myairlease.com/available/condor_aviation","Mr. V. Harcovei, mailto:v.harcovei@condoraviation.ro?Subject=Query%20for%20MSN%20851431%20listed%20in%20myairlease.com",+40 727 891801,Let 410UVP,1985,851431,8694/6568,M601D,OR,S,1605,IMM,,
"Aircraft, (Turboprops only)",,"Danish Air Transport, http://www.myairlease.com/available/dat","Mr. A. Pocevicius, mailto:albertas@dat.dk?Subject=Query%20for%20MSN%20086%20listed%20in%20myairlease.com",+37 068 640 453,SAAB 340A,1987,086,35867/36078,CT7-5A2,OR,S,1603,IMM,,
"Aircraft, (Turboprops only)",,"Danish Air Transport, http://www.myairlease.com/available/dat","Mr. A. Pocevicius, mailto:albertas@dat.dk?Subject=Query%20for%20MSN%20074%20listed%20in%20myairlease.com",+37 068 640 453,SAAB 340A,1986,074,39288/45658,CT7-5A2,OR,S,1603,IMM,,
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"BBAM, http://www.myairlease.com/available/bbam","Mr. S. Zissis, mailto:info@bbam.com?Subject=Query%20for%20MSN%202176%20listed%20in%20myairlease.com",+1 415 486 6100,A319-111,2006,2176,33845/23006,CFM56-5B5/P,0/0/156,OL/S,1605,1611,,
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"BBAM, http://www.myairlease.com/available/bbam","Mr. S. Zissis, mailto:info@bbam.com?Subject=Query%20for%20MSN%201916%20listed%20in%20myairlease.com",+1 415 486 6100,A319-100,2003,1916,32683/22125,CFM56-5B6/2P,0/0/138,OL,1605,1702,,
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"BBAM, http://www.myairlease.com/available/bbam","Mr. S. Zissis, mailto:info@bbam.com?Subject=Query%20for%20MSN%201362%20listed%20in%20myairlease.com",+1 415 486 6100,A319-111,2000,1362,34808/23262,CFM56-5B5/P,0/0/141,OL,1605,1611,,
"Aircraft, (Turboprops only)",,"Flair Aviation, http://www.myairlease.com/available/flair_aviation","Mr. M. Waldmann, mailto:waldmann@flair-aviation.de?Subject=Query%20for%20MSN%20576%20listed%20in%20myairlease.com",+49 1573 8250 158,ATR 42-500,1998,576,29292/28787,PW127E,0/0/46,OL/S,1605,1607,,
"Aircraft, (Turboprops only)",,"Flair Aviation, http://www.myairlease.com/available/flair_aviation","Mr. M. Waldmann, mailto:waldmann@flair-aviation.de?Subject=Query%20for%20MSN%20574%20listed%20in%20myairlease.com",+49 1573 8250 158,ATR 42-500,1998,574,30735/31239,PW127E,0/0/46,OL/S,1605,1607,,
"Aircraft, (Turboprops only)",,"Geleon Trade, http://www.myairlease.com/available/geleon_trade","Mr. P. Komardin, mailto:komardine@gmail.com?Subject=Query%20for%20MSN%201402%20listed%20in%20myairlease.com",+7 916 223 0808,An-30,1978,1402,5630/3980,AI-24T,Freighter,A,1603,IMM,,
"Aircraft, (Jets and Turboprops)",Airbus A330,"Avianca, http://www.myairlease.com/available/avianca","Mr. J. Roncallo de la Vega, mailto:juan.roncallo@avianca.com?Subject=Query%20for%20MSN%201009%20listed%20in%20myairlease.com",+57 1 587 700 x1446,A330-243,2009,1009,OR,Trent 700,0/30/222,OL/S,1603,IMM,,
"Aircraft, (Jets and Turboprops)",Airbus A330,"DAE Capital, http://www.myairlease.com/available/dae_capital","Mr. D. Houlihan, mailto:marketing@dubaiaerospace.com?Subject=Query%20for%20MSN%20392%20listed%20in%20myairlease.com",+971 50 65 66131,A330-243,2001,0392,OR,Trent 772B-60,OR,OL,1604,IMM,,
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"BBAM, http://www.myairlease.com/available/bbam","Mr. S. Zissis, mailto:info@bbam.com?Subject=Query%20for%20MSN%20733%20listed%20in%20myairlease.com",+1 415 486 6100,A320-200,1997,0733,49476/22037,V2527-A5,0/0/180,OL,1605,1609,,
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"DVB Bank, http://www.myairlease.com/available/dvb","Mr. J. Louch, mailto:aircraftsales@dvbbank.com?Subject=Query%20for%20MSN%201345%20listed%20in%20myairlease.com",+65 6499 5913,A320-200,2000,1345,OR,CFM56-5B/P,OR,OL,1605,1612,,
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"DVB Bank, http://www.myairlease.com/available/dvb","Mr. J. Louch, mailto:aircraftsales@dvbbank.com?Subject=Query%20for%20MSN%201316%20listed%20in%20myairlease.com",+65 6499 5913,A320-200,2000,1316,OR,CFM56-5B/P,OR,OL,1605,1611,,
"Aircraft, (Turboprops only)",,"Geleon Trade, http://www.myairlease.com/available/geleon_trade","Mr. P. Komardin, mailto:komardine@gmail.com?Subject=Query%20for%20MSN%20851430%20listed%20in%20myairlease.com",+7 926 314 0565,Let 410UVPE,1985,851430,9705/10142,M-601E,OR,A,1603,IMM,,
"Aircraft, (Turboprops only)",,"Geleon Trade, http://www.myairlease.com/available/geleon_trade","Mr. P. Komardin, mailto:komardine@gmail.com?Subject=Query%20for%20MSN%20892229%20listed%20in%20myairlease.com",+7 926 314 0565,Let 410UVPE,1989,892229,9580/9601,M-601E,OR,A,1603,IMM,,
"Aircraft, (Turboprops only)",,"Geleon Trade, http://www.myairlease.com/available/geleon_trade","Mr. P. Komardin, mailto:komardine@gmail.com?Subject=Query%20for%20MSN%20892214%20listed%20in%20myairlease.com",+7 926 314 0565,Let 410UVPE,1989,892214,6977/7585,M-601E,OR,A,1603,IMM,,
"Aircraft, (Jets and Turboprops)",Airbus A330,"DAE Capital, http://www.myairlease.com/available/dae_capital","Mr. D. Houlihan, mailto:marketing@dubaiaerospace.com?Subject=Query%20for%20MSN%20328%20listed%20in%20myairlease.com",+971 50 65 66131,A330-243,2000,0328,OR,Trent 772B-60,OR,OL,1604,IMM,,
"Aircraft, (Jets and Turboprops)",Airbus A330,"DAE Capital, http://www.myairlease.com/available/dae_capital","Mr. D. Houlihan, mailto:marketing@dubaiaerospace.com?Subject=Query%20for%20MSN%20326%20listed%20in%20myairlease.com",+971 50 65 66131,A330-243,2000,0326,OR,Trent 772B-60,OR,OL,1604,IMM,,
"Aircraft, (Jets and Turboprops)",Airbus A330,"DAE Capital, http://www.myairlease.com/available/dae_capital","Mr. D. Houlihan, mailto:marketing@dubaiaerospace.com?Subject=Query%20for%20MSN%20295%20listed%20in%20myairlease.com",+971 50 65 66131,A330-243,1999,0295,OR,Trent 772B-60,OR,OL,1604,1607,,
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"DVB Bank, http://www.myairlease.com/available/dvb","Mrs. E. Lawson, mailto:aircraftsales@dvbbank.com?Subject=Query%20for%20MSN%20743%20listed%20in%20myairlease.com",+44 207 256 4452,A320-223,1997,0743,OR,V2527-A5,OR,OL,1605,IMM,,
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Global Express Aviation, http://www.myairlease.com/available/global_express_aviation","Mr. B. Oralerkaya, mailto:commercial@geavia.com?Subject=Query%20for%20MSN%20368%20listed%20in%20myairlease.com",+90 530 510 3810,A320-231,1994,0368,OR,V2500-A1,0/0/180,OL/A,1605,IMM,,
"Aircraft, (Jets and Turboprops)",Airbus A320 family,"Global Express Aviation, http://www.myairlease.com/available/global_express_aviation","Mr. B. Oralerkaya, mailto:commercial@geavia.com?Subject=Query%20for%20MSN%20316%20listed%20in%20myairlease.com",+90 530 510 3810,A320-200,1991,0316,59275/23591,V2500-A1,0/8/144,S,1605,IMM,,
"Aircraft, (Turboprops only)",,"Geleon Trade, http://www.myairlease.com/available/geleon_trade","Mr. P. Komardin, mailto:komardine@gmail.com?Subject=Query%20for%20MSN%20892322%20listed%20in%20myairlease.com",+7 926 314 0565,Let 410UVPE,1989,892322,8543/9390,M-601E,OR,A,1603,IMM,,
"Aircraft, (Turboprops only)",,"Geleon Trade, http://www.myairlease.com/available/geleon_trade","Mr. P. Komardin, mailto:komardine@gmail.com?Subject=Query%20for%20MSN%201G22628%20listed%20in%20myairlease.com",+7 916 223 0808,An-2,1987,1G22628,1825/1508,ASH-62IR,0/0/12,A/S,1603,IMM,,
"Aircraft, (Jets and Turboprops)",Airbus A330,"DAE Capital, http://www.myairlease.com/available/dae_capital","Mr. D. Houlihan, mailto:marketing@dubaiaerospace.com?Subject=Query%20for%20MSN%20293%20listed%20in%20myairlease.com",+971 50 65 66131,A330-243,1999,0293,OR,Trent 772B-60,OR,OL,1604,IMM,,
"Aircraft, (Jets and Turboprops)",Airbus A330,"DAE Capital, http://www.myairlease.com/available/dae_capital","Mr. D. Houlihan, mailto:marketing@dubaiaerospace.com?Subject=Query%20for%20MSN%20283%20listed%20in%20myairlease.com",+971 50 65 66131,A330-243,1999,0283,OR,Trent 772B-60,OR,OL,1604,IMM,,
